City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,1.85,93,100,1.54,CA,1686216492
1,hermanus,-34.4187,19.2345,16.38,81,99,10.16,ZA,1686216493
2,lebu,-37.6167,-73.65,14.44,86,99,11.87,CL,1686216495
3,isetskoye,56.4858,65.3226,19.98,45,68,3.84,RU,1686216495
4,vilyuchinsk,52.9306,158.4028,14.15,77,50,1.5,RU,1686216496
5,leava,-14.3,-178.1667,26.95,80,34,4.01,WF,1686216496
6,west island,-12.1568,96.8225,26.99,83,100,6.69,CC,1686216497
7,sur,22.5667,59.5289,37.1,41,4,4.17,OM,1686216497
8,margaret river,-33.95,115.0667,14.09,68,25,3.1,AU,1686216498
9,iskateley,67.6803,53.1512,7.45,49,100,4.04,RU,1686216498
10,saint-paul,-21.0096,55.2707,28.06,96,27,0.96,RE,1686216499
11,atafu village,-8.5421,-172.5159,28.67,72,99,3.41,TK,1686216500
12,waitangi,-43.9535,-176.5597,9.9,83,16,2.95,NZ,1686216500
13,selfoss,63.9331,-20.9971,9.47,96,100,6.48,IS,1686216501
14,invercargill,-46.4,168.35,6.22,86,76,1.03,NZ,1686216501
15,talnakh,69.4865,88.3972,9.56,63,100,2.32,RU,1686216502
16,hithadhoo,-0.6,73.0833,28.76,66,77,0.38,MV,1686216503
17,edinburgh of the seven seas,-37.0676,-12.3116,15.5,81,60,12.05,SH,1686216503
18,igarka,67.4667,86.5833,11.51,87,100,5.62,RU,1686216505
19,punta arenas,-53.15,-70.9167,-1.94,86,0,2.57,CL,1686216505
20,greymouth,-42.4667,171.2,5.87,84,0,2.04,NZ,1686216506
21,port-aux-francais,-49.35,70.2167,4.43,89,98,12.09,TF,1686216506
22,adamstown,-25.066,-130.1015,21.33,67,9,3.58,PN,1686216507
23,kalaleh,37.3807,55.4916,21.78,94,100,2.06,IR,1686216507
24,argo,37.6333,22.7333,25.99,41,92,2.35,GR,1686216508
25,badger,64.8,-147.5333,15.28,77,0,2.57,US,1686216509
26,cidade velha,14.9167,-23.6167,26.26,65,20,6.17,CV,1686216510
27,tamanrasset,22.785,5.5228,34.95,10,0,2.06,DZ,1686216386
28,blackmans bay,-43.0167,147.3167,12.07,93,100,2.92,AU,1686216511
29,rio tuba,8.5061,117.4317,29.34,70,75,2.73,PH,1686216511
30,puerto natales,-51.7236,-72.4875,0.77,98,100,0.62,CL,1686216512
31,campbell river,50.0163,-125.2446,17.47,59,4,2.05,CA,1686216512
32,turpan,42.9333,89.1667,44.65,5,91,2.24,CN,1686216513
33,kalach-na-donu,48.691,43.5264,24.5,37,43,2.04,RU,1686216513
34,smyshlyayevka,53.2391,50.3907,22.58,45,44,6.35,RU,1686216514
35,ca mau,9.1769,105.15,30.25,61,100,5.55,VN,1686216514
36,karratha,-20.7377,116.8463,24.86,33,0,3.25,AU,1686216515
37,buala,-8.145,159.5921,26.68,82,19,1.26,SB,1686216516
38,los lunas,34.8062,-106.7334,19.36,43,0,6.81,US,1686216516
39,grytviken,-54.2811,-36.5092,2.11,98,100,2.29,GS,1686216517
40,livingston,55.9029,-3.5226,12.71,70,100,5.66,GB,1686216517
41,bilibino,68.0546,166.4372,15.88,36,6,6.26,RU,1686216518
42,prado,-17.3411,-39.2208,19.99,87,1,1.82,BR,1686216518
43,temuco,-38.7333,-72.6,14.87,89,100,7.66,CL,1686216519
44,labuan,5.2767,115.2417,30.2,70,20,1.03,MY,1686216519
45,callao,-12.0667,-77.15,24.16,69,100,3.6,PE,1686216192
46,horta,38.5333,-28.6333,18.9,74,40,5.66,PT,1686216520
47,gao,16.6362,1.637,37.3,10,32,2.24,ML,1686216521
48,port lincoln,-34.7333,135.8667,15.12,82,38,13.0,AU,1686216518
49,albany,42.6001,-73.9662,11.34,85,100,1.79,US,1686216283
50,vorgashor,67.5833,63.95,4.98,52,100,4.02,RU,1686216523
51,constantia,44.1833,28.65,24.38,55,51,4.95,RO,1686216303
52,lop buri,14.7981,100.654,27.87,77,100,3.38,TH,1686216524
53,isafjordur,66.0755,-23.124,10.02,53,100,2.06,IS,1686216525
54,vila franca do campo,37.7167,-25.4333,18.23,85,62,5.33,PT,1686216525
55,papatowai,-46.5619,169.4708,5.13,91,41,1.55,NZ,1686216526
